keyword,volume,assigned_page,reason
方言英語,6600,/kotoba/%E8%8B%B1%E8%AA%9E/,extraction-noise
アルティメット鹿児島弁,2900,/kotoba/%E3%82%A2%E3%83%AB%E3%83%86%E3%82%A3%E3%83%A1%E3%83%83%E3%83%88%E9%B9%BF%E5%85%90%E5%B3%B6%E5%BC%81/,third-party-brand-or-meme
け方言,2400,/,single-char-particle→/kotoba-gobi/
関西弁男友達とぐちゃとろマッサージ,2400,/kansai/,nsfw
じぇじぇじぇとは,1900,/kotoba/%E3%81%98%E3%81%87%E3%81%98%E3%81%87%E3%81%98%E3%81%87/,third-party-brand-or-meme
じぇじぇじぇ意味,1300,/kotoba/%E3%81%98%E3%81%87%E3%81%98%E3%81%87%E3%81%98%E3%81%87/,third-party-brand-or-meme
さ方言,1000,/,single-char-particle→/kotoba-gobi/
恋する方言変換,1000,/,third-party-brand-or-meme
と方言,880,/,single-char-particle→/kotoba-gobi/
べ方言,880,/,single-char-particle→/kotoba-gobi/
関西弁エロ,880,/kansai/,nsfw
に方言,590,/,single-char-particle→/kotoba-gobi/
ら方言,480,/,single-char-particle→/kotoba-gobi/
完璧女上司無能部下のマッサージを受け故郷の訛りで大絶叫,480,/kotoba/%E5%AE%8C%E7%92%A7%E5%A5%B3%E4%B8%8A%E5%8F%B8%E7%84%A1%E8%83%BD%E9%83%A8%E4%B8%8B%E3%81%AE%E3%83%9E%E3%83%83%E3%82%B5%E3%83%BC%E3%82%B8%E3%82%92%E5%8F%97%E3%81%91%E6%95%85%E9%83%B7%E3%81%AE%E8%A8%9B%E3%82%8A%E3%81%A7%E5%A4%A7%E7%B5%B6%E5%8F%AB/,nsfw
が方言,390,/,single-char-particle→/kotoba-gobi/
ば方言,390,/,single-char-particle→/kotoba-gobi/
つ方言,320,/,single-char-particle→/kotoba-gobi/
ど方言,320,/,single-char-particle→/kotoba-gobi/
や方言,320,/,single-char-particle→/kotoba-gobi/
ちんころ方言,320,/kotoba/%E3%81%A1%E3%82%93%E3%81%93%E3%82%8D/,nsfw
わ方言,260,/,single-char-particle→/kotoba-gobi/
ち方言,260,/,single-char-particle→/kotoba-gobi/
き方言,210,/,single-char-particle→/kotoba-gobi/
だ方言,210,/,single-char-particle→/kotoba-gobi/
じぇじぇじぇ方言,210,/kotoba/%E3%81%98%E3%81%87%E3%81%98%E3%81%87%E3%81%98%E3%81%87/,third-party-brand-or-meme
エロ関西弁,210,/kotoba/%E3%82%A8%E3%83%AD%E9%96%A2%E8%A5%BF%E5%BC%81/,nsfw
で方言,170,/,single-char-particle→/kotoba-gobi/
京都弁エロ,170,/kyoto/,nsfw
アルティメット鹿児島弁アニキ,170,/kagoshima/,third-party-brand-or-meme
方言エロ,170,/kotoba/%E3%82%A8%E3%83%AD/,nsfw
面白い方言下ネタ,170,/kawaii/,nsfw
な方言,140,/,single-char-particle→/kotoba-gobi/
ろ方言,140,/,single-char-particle→/kotoba-gobi/
下ネタに聞こえる方言,140,/kotoba/%E4%B8%8B%E3%83%8D%E3%82%BF%E3%81%AB%E8%81%9E%E3%81%93%E3%81%88%E3%82%8B/,nsfw
ね方言,110,/,single-char-particle→/kotoba-gobi/
の方言,110,/,single-char-particle→/kotoba-gobi/
じぇじぇじぇ意味,110,/kotoba/%E3%81%98%E3%81%87%E3%81%98%E3%81%87%E3%81%98%E3%81%87/,third-party-brand-or-meme
エロ漫画方言,110,/kotoba/%E3%82%A8%E3%83%AD%E6%BC%AB%E7%94%BB/,nsfw
方言エロ漫画,110,/kotoba/%E3%82%A8%E3%83%AD%E6%BC%AB%E7%94%BB/,nsfw
