dialect,order,type,pattern,replace,note,confidence
三河,1,protect,しかない,,〜しかない は動詞否定ではない,high
三河,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
三河,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
三河,4,protect,仕方ない,,同上,high
三河,5,protect,間違いない,,同上,high
三河,6,protect,少ない,,形容詞,high
三河,7,protect,危ない,,形容詞,high
三河,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
三河,10,copula,だろう,だら,,medium
三河,11,copula,でしょう,でしょ,,high
三河,12,copula,だ$,だ,断定の助動詞は「だ」,high
三河,13,copula,だから,だもんで,,high
三河,14,copula,ので$,もんで,,high
三河,15,copula,じゃない,じゃん,三河は「じゃん」の発祥地とされる,medium
三河,20,negation,([かがさたなばまら])ない,\1ん,普通の否定は「ん」,high
三河,21,negation,しない,せん,,high
三河,22,negation,来ない,こん,,high
三河,23,negation,なかった,なんだ,過去否定。「んかった」も,medium
三河,30,aspect,ている,とる,,high
三河,31,aspect,ておく,とく,,high
三河,40,particle,けれど,けど,,high
三河,41,particle,よ$,に,,low
三河,50,lexical,赤い,あけー,連母音 ai→えー,high
三河,51,lexical,とても,どえらい,,high
三河,52,lexical,疲れた,えらい,標準語と意味が違う,high
三河,53,lexical,捨てる,ほかる,,high
三河,54,lexical,仲間はずれ,はみご,,high
三河,55,lexical,自転車,ケッタ,,high
京都,1,protect,しかない,,〜しかない は動詞否定ではない,high
京都,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
京都,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
京都,4,protect,仕方ない,,同上,high
京都,5,protect,間違いない,,同上,high
京都,6,protect,少ない,,形容詞,high
京都,7,protect,危ない,,形容詞,high
京都,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
