slug,dialect_name,area_name,group,rule_dialect,inherit_conf,vocab_sources,vocab_fallback
kansai,関西弁,関西地方,近畿・関西,関西,own,近畿|近畿方言|関西共通語|近畿/九州|近畿/関東|近畿/長野|近畿/津軽,
osaka,大阪弁,大阪府,近畿・関西,大阪,own,大阪|大阪弁 (前田勇)|近畿/大阪,
kyoto,京都弁,京都府,近畿・関西,京都,own,京都|京言葉|舞鶴弁|丹後弁|京都/琉球,
kobe,神戸弁,兵庫県神戸市,近畿・関西,関西,high,神戸弁,
hyogo,兵庫方言,兵庫県,近畿・関西,関西,high,,kobe|banshu
nara,奈良弁,奈良県,近畿・関西,関西,high,奈良弁|奥吉野方言,
shiga,滋賀方言,滋賀県,近畿・関西,関西,high,江州弁,
wakayama,和歌山弁,和歌山県,近畿・関西,関西,high,,kansai|nara
mie,三重県方言,三重県,近畿・関西,関西,high,三重弁,
kawachi,河内弁,大阪府河内地方,近畿・関西,大阪,high,,osaka|kansai
senshu,泉州弁,大阪府泉州地方,近畿・関西,大阪,high,泉州弁,
banshu,播州弁,兵庫県播磨地方,近畿・関西,関西,high,播州弁,
tajima,但馬方言,兵庫県但馬地方,近畿・関西,関西,high,,kansai|hyogo
okinawa,沖縄方言,沖縄県,九州・沖縄,沖縄,own,ウチナーヤマトグチの語彙一覧|琉球|沖縄對話|沖縄北部方言|沖縄語|琉球諸語|宮古語|八重山語|与那国語|沖永良部与論沖縄北部諸方言|しまくとぅば正書法|沖縄方言の表記体系,
hakata,博多弁,福岡県博多,九州・沖縄,博多,own,博多弁,
fukuoka,福岡方言,福岡県,九州・沖縄,博多,high,福岡弁|柳川弁|福岡県豊前方言,
kagoshima,鹿児島弁,鹿児島県,九州・沖縄,鹿児島,own,薩隅方言|奄美大島方言|奄美語|喜界島方言,kyushu|hakata
kyushu,九州方言,九州地方,九州・沖縄,博多,high,九州|九州/東北,hakata|fukuoka
saga,佐賀方言,佐賀県,九州・沖縄,博多,high,佐賀弁,
nagasaki,長崎方言,長崎県,九州・沖縄,博多,high,長崎弁|佐世保弁|五島列島方言,
kumamoto,熊本方言,熊本県,九州・沖縄,博多,high,,hakata|fukuoka
oita,大分方言,大分県,九州・沖縄,博多,high,大分弁,
miyazaki,宮崎方言,宮崎県,九州・沖縄,博多,high,宮崎弁,
