source,dialect,word,kanji,gloss_ja,gloss_en,section
Wikipedia,しまくとぅば正書法,ア,,イ || ウ || エ || オ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,カ,,キ || ク || ケ || コ || || || || キャ || キュ || キョ || クヮ || クィ || クェ,,国頭語
Wikipedia,しまくとぅば正書法,カ゚,,キ゚ || ク゚ || ケ゚ || コ゚ || || || || キ゚ャ || キ゚ュ || キ゚ョ || ク゚ヮ || ||,,与那国語
Wikipedia,しまくとぅば正書法,ガ,,ギ || グ || ゲ || ゴ || || || || ギャ || ギュ || ギョ || グヮ || グィ || グェ,,国頭語
Wikipedia,しまくとぅば正書法,サ,,スィ || ス || セ || ソ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,サ゚,,スィ゚ || ス゚ || セ゚ || ソ゚ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ザ,,ズィ || ズ || ゼ || ゾ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,シ゚ャ,,シ゚ || シ゚ュ || || シ゚ョ || || || || || || || || ||,,宮古語
Wikipedia,しまくとぅば正書法,シャ,,シ || シュ || シェ || ショ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ジャ,,ジ || ジュ || ジェ || ジョ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,タ,,ティ || トゥ || テ || ト || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ダ,,ディ || ドゥ || デ || ド || || || || デャ || デュ || デョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,チャ,,チ || チュ || チェ || チョ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ツァ,,ツィ || ツ || ツェ || ツォ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ナ,,ニ || ヌ || ネ || ノ || || || || ニャ || ニュ || ニョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ニャ,,|| ニュ || ニェ || ニョ || || || || || || || || ||,,沖縄語
Wikipedia,しまくとぅば正書法,ハ,,|| フゥ || ヘ || ホ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,バ,,ビ || ブ || ベ || ボ || || || || ビャ || ビュ || ビョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,パ,,ピ || プ || ペ || ポ || || || || ピャ || ピュ || ピョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ヒャ,,ヒ || ヒュ || || ヒョ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ファ,,フィ || フ || フェ || フォ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,マ,,ミ || ム || メ || モ || || || || ミャ || ミュ || ミョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ヤ,,|| ユ || イェ || ヨ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ラ,,リ || ル || レ || ロ || || || || リャ || リュ || リョ || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ワ,,ウィ || || ウェ || ウォ || || || || || || || || ||,,国頭語
Wikipedia,しまくとぅば正書法,ヴァ,,ヴィ || ヴゥ || ヴェ || ヴォ || || || || ヴャ || ヴュ || || || ||,,宮古語
Wikipedia,やらまいか,やらまいか,,静岡県浜松市に所在するスズキは、『やらまいか』と題する広報誌を発行している,,派生
Wikipedia,やらまいか,やらまいか創造工学センター,,静岡県袋井市に所在する静岡理工科大学は、「やらまいか創造工学センター」と称する付属施設を設置している,,派生
Wikipedia,やらまいか,やら舞歌,,第一勧業銀行浜松支店の支店長を務めていた作曲家の小椋佳は、のちに『やら舞歌』と題した楽曲の作詞、作曲を手掛けた,,派生
Wikipedia,ウチナーヤマトグチの語彙一覧,〜いみそーれ,,〜しなさい,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜が？,,疑問形の語尾。「ぬーやが？」は「何？/何ですか？」,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜さー？/〜さーねー？,,〜じゃない？,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜しようね/〜しましょうね,,〜しますね。話し手に今まさにその行為を行なう意志がある、の意。「そろそろ帰りましょうね」は「そろそろ（私は）帰りますね」の意。同意を求めたり、勧誘しているわけではない,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜だはず,,〜だと思う。〜じゃないかな。〜かも知れない,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜だわけさー,,〜なんだよ,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜やし？,,〜でしょ？/〜じゃん。「いいでしょ？」は「いいやし」,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜（さ）りんどぉー,,〜するぞ,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜（だ）ばー,,〜（という）わけ。元来「ばー」は「わけ、理由」の意の名詞であるが、では特に意味のない強調語尾として用いられることが多く、内地における「〜だべ」「〜じゃん」「〜ねん」「〜とっと」などに近い,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜（だ）ばーよ,,〜（という）わけよ。「〜だわけさー」とは違い、かなり強気な言い方,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,〜（やっ）さ（ー）,,（強い断定）〜じゃん。〜だ。「あの子、とっても美人じゃん」→「あの子、でーじちゅらかーぎーやっさ」,,語尾・接尾詞
Wikipedia,ウチナーヤマトグチの語彙一覧,あいっ,,あっ。しまった,,間投詞・指示代名詞
Wikipedia,ウチナーヤマトグチの語彙一覧,あが！/あっが！/あがひゃ！,,痛い！痛っ！,,間投詞・指示代名詞
Wikipedia,ウチナーヤマトグチの語彙一覧,あんしぇーや,,じゃあな。それでは。別れのあいさつとしてよく使われる,,その他
Wikipedia,ウチナーヤマトグチの語彙一覧,あんなに,,そんなに。指示代名詞の使い方はかなり曖昧で「あんなに痛かったの？」などという表現が使われる,,副詞
Wikipedia,ウチナーヤマトグチの語彙一覧,うり,,（近くのものを指して）ほら,,間投詞・指示代名詞
Wikipedia,ウチナーヤマトグチの語彙一覧,えぇ！,,おい！こらっ！,,間投詞・指示代名詞
Wikipedia,ウチナーヤマトグチの語彙一覧,さんぴん茶,,ジャスミン茶。中国語の「香片茶」より。沖縄で良く飲まれている飲料,,食べ物関連
Wikipedia,ウチナーヤマトグチの語彙一覧,じゅんに？,,本当に？,,間投詞・指示代名詞
Wikipedia,ウチナーヤマトグチの語彙一覧,だぁ,,（それ）ちょうだい。どれどれ。相手が指しているもの・持っているものを見てみたいときに使う,,間投詞・指示代名詞
